EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
1 335 14 -0.445549 -1.55989 0.121155 0.000641258 0.491009
1 338 18 0.0766569 -1.55989 0.239873 0.00100341 0.801443
1 341 20 -0.121207 -1.55989 0.438236 0.00186316 1.39354
1 348 20 0.593255 -1.55989 0.381869 0.001685 1.34263
1 357 6 -0.81581 1.49826 -0.136478 0.000900366 0.540761
1 358 4 -0.685076 1.49826 -0.463513 0.00578268 8.30845
1 360 2 -0.468627 1.50284 -0.666452 0.000614556 0.474927
1 363 6 0.154679 1.50033 -0.818467 0.00476706 3.34061
1 364 8 0.294472 1.49826 0.0210051 0.0014046 1.10338
1 368 2 -0.00571435 1.49826 -0.291243 0.000957407 0.61888
1 369 18 0.150493 1.49826 0.813342 0.000400276 0.499098
1 370 16 -0.0268918 1.49826 0.300221 0.00166996 1.41164
1 371 6 -0.296992 1.49826 -0.000172272 0.000637275 0.413547
1 381 12 0.987308 -0.265603 -0.6027 0.00143235 1.21386
1 384 4 -0.601978 0.606756 -0.985573 0.00329181 2.75005
1 386 4 -0.269554 0.604503 -1.12894 0.00172876 1.43585
1 386 14 -0.269554 0.604503 -1.12894 0.000447254 0.371473
1 388 6 -0.271416 -0.248554 -1.12762 0.00223948 1.82517
1 389 4 0.596843 0.603652 -0.995037 0.00252732 2.10435
1 391 6 -0.599435 -0.250127 -0.989945 0.00396849 3.30707
1 394 4 -0.988155 -0.258641 -0.592946 0.000973082 1.25721
1 398 6 -1.12268 0.602692 -0.275456 0.000868799 0.733163
1 411 16 -0.592554 0.60204 0.988542 0.000779811 0.747662
1 421 4 -0.941372 0.158238 -0.540199 0.00026016 0.218806
1 422 4 -0.941372 1.00794 -0.540199 0.00307321 2.36948
1 434 8 0.27818 -1.14058 -1.05805 0.00393454 3.4819
1 436 32 -0.274461 -1.14543 -1.04804 0.00158545 1.34932
1 437 4 0.276007 1.00917 -1.06118 0.00238819 1.85275
1 438 10 0.550774 1.00917 -0.943521 0.00166357 1.33406
1 440 8 0.276007 0.156461 -1.06118 0.00181559 1.56922
1 441 6 0.550774 0.156461 -0.943521 0.00165115 1.38288
1 443 10 -0.274461 1.01245 -1.04804 0.00142525 1.08632
4 355 6 -0.47802 1.50184 0.683966 0.00146714 0.954546
4 357 8 -0.81581 1.49826 -0.136478 0.000973005 0.584387
4 421 8 -0.941372 0.158238 -0.540199 0.00122317 1.02874
4 423 10 -1.05665 1.00742 0.259726 0.0017626 1.44357
4 426 6 -0.938199 1.00742 0.554067 0.00192963 1.78175
5 368 10 -0.00571435 1.49826 -0.291243 0.00195259 1.26218
5 369 8 0.150493 1.49826 0.813342 0.000785404 0.979307
5 370 4 -0.0268918 1.49826 0.300221 0.000940183 0.794744
5 390 12 0.598148 -0.265697 -0.99431 0.00201573 1.95133
5 442 8 -0.54913 1.01282 -0.929323 0.000843914 0.639814
5 461 10 0.553883 1.0076 0.93738 0.00117 0.951217
7 353 8 -0.813383 1.49826 0.150272 0.000206145 0.632346
7 355 10 -0.47802 1.50184 0.683966 0.00326421 2.12375
7 356 8 -0.679305 1.50259 0.476572 0.00101839 1.02557
7 357 6 -0.81581 1.49826 -0.136478 0.0022469 1.34949
7 358 10 -0.685076 1.49826 -0.463513 0.00154455 2.21918
7 359 8 -0.151149 1.49826 -0.81322 0.000237533 1.13111
7 360 12 -0.468627 1.50284 -0.666452 0.00211895 1.63752
7 362 10 0.814633 1.49826 -0.143337 0.00055587 0.486751
7 363 4 0.154679 1.50033 -0.818467 0.00295432 2.0703
7 364 4 0.294472 1.49826 0.0210051 0.000688524 0.540867
7 365 8 0.813602 1.49826 0.149082 0.000866511 0.670156
7 367 6 0.683524 1.50021 -0.470894 0.00659778 4.52833
7 369 8 0.150493 1.49826 0.813342 0.00103775 1.29395
7 371 14 -0.296992 1.49826 -0.000172272 0.00133408 0.865723
7 373 4 1.12177 0.602141 -0.276053 0.0054556 4.69097
7 375 14 1.11571 0.603541 0.278947 0.00108983 0.911988
7 383 6 0.27232 0.603652 -1.12871 0.000989109 0.804154
7 385 8 -0.267693 -0.680675 -1.13026 0.000996862 0.872145
7 386 4 -0.269554 0.604503 -1.12894 0.00110508 0.917841
7 387 40 0.27232 -0.255616 -1.12871 0.000704323 0.54137
7 389 2 0.596843 0.603652 -0.995037 0.00086805 0.722773
7 389 12 0.596843 0.603652 -0.995037 0.00069485 0.578559
7 391 6 -0.599435 -0.250127 -0.989945 0.00104591 0.871588
7 399 8 -0.985707 -0.68356 -0.603023 0.00115748 1.00738
7 400 8 -0.989842 0.602282 0.590253 0.00290405 2.54295
7 409 22 -0.587648 -0.267541 0.99154 0.00139417 1.22834
7 410 20 -0.273005 0.60204 1.12638 0.0011419 0.934453
