EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
2 340 20 0.389117 -1.55656 0.5811 0.00130793 1.0677
2 353 8 -0.813383 1.49826 0.150272 0.000581171 1.78273
2 356 8 -0.679305 1.50259 0.476572 0.00175267 1.76503
2 357 4 -0.81581 1.49826 -0.136478 0.012612 7.57477
2 358 4 -0.685076 1.49826 -0.463513 0.00109437 1.57237
2 359 6 -0.151149 1.49826 -0.81322 0.000177957 0.847413
2 364 16 0.294472 1.49826 0.0210051 0.00127589 1.00227
2 366 24 0.677824 1.49826 0.474055 0.00105331 1.23338
2 368 14 -0.00571435 1.49826 -0.291243 0.00122232 0.790125
2 369 8 0.150493 1.49826 0.813342 0.00114663 1.42972
2 371 6 -0.296992 1.49826 -0.000172272 0.00186732 1.21176
2 371 26 -0.296992 1.49826 -0.000172272 0.00109976 0.713666
2 382 10 0.940467 0.15453 -0.553142 0.00137497 0.933447
2 383 10 0.27232 0.603652 -1.12871 0.00115671 0.940411
2 384 2 -0.601978 0.606756 -0.985573 0.00306099 2.55722
2 385 6 -0.267693 -0.680675 -1.13026 0.00173406 1.51711
2 386 6 -0.269554 0.604503 -1.12894 0.00509375 4.23069
2 389 16 0.596843 0.603652 -0.995037 0.000755615 0.629155
2 393 0 -0.548115 0.157547 -0.938666 0.00353952 2.35184
2 393 14 -0.548115 0.157547 -0.938666 0.00193395 1.28502
2 397 0 -1.12599 0.602282 0.263394 0.00939706 7.86365
2 401 0 -1.12268 -0.263086 -0.275456 0.0026446 2.36971
2 403 0 -0.986931 0.602692 -0.597985 0.00374917 4.36458
2 404 2 -0.938199 0.15471 0.554067 0.00245948 1.83134
2 410 12 -0.273005 0.60204 1.12638 0.00141563 1.15845
2 411 4 -0.592554 0.60204 0.988542 0.00236648 2.26891
2 414 14 0.266799 -0.692491 1.12485 0.000488374 0.441967
2 418 2 -0.941372 -1.14774 -0.540199 0.00138245 1.15109
2 420 28 -0.938199 -0.715151 0.554067 0.000836829 0.779171
2 422 8 -0.941372 1.00794 -0.540199 0.00361168 2.78464
2 424 4 -1.05665 0.15471 0.259726 0.00343425 2.78754
2 425 6 -1.05524 0.151641 -0.26962 0.00141886 1.10676
2 434 10 0.27818 -1.14058 -1.05805 0.00148229 1.31176
2 438 14 0.550774 1.00917 -0.943521 0.000359232 0.288077
2 442 8 -0.54913 1.01282 -0.929323 0.00140054 1.06182
2 450 12 0.930484 0.166217 0.567959 0.000810448 0.691508
2 451 12 1.04949 0.158655 0.295542 0.000874185 0.706127
2 457 20 1.05467 0.15453 -0.266429 0.000504039 0.381559
3 335 18 -0.445549 -1.55989 0.121155 0.00173494 1.32844
3 336 16 -0.57756 -1.55118 -0.371039 0.000643731 0.553034
3 357 2 -0.81581 1.49826 -0.136478 0.00203652 1.22313
3 360 8 -0.468627 1.50284 -0.666452 0.0012105 0.93547
3 386 8 -0.269554 0.604503 -1.12894 0.00185373 1.53964
3 391 12 -0.599435 -0.250127 -0.989945 0.00140176 1.16813
3 398 8 -1.12268 0.602692 -0.275456 0.00259172 2.18711
3 403 4 -0.986931 0.602692 -0.597985 0.000498128 0.579893
3 422 2 -0.941372 1.00794 -0.540199 0.00335872 2.58961
3 434 14 0.27818 -1.14058 -1.05805 0.000966801 0.855576
3 437 6 0.276007 1.00917 -1.06118 0.00413304 3.20639
3 442 4 -0.54913 1.01282 -0.929323 0.00383243 2.90555
3 443 4 -0.274461 1.01245 -1.04804 0.00182641 1.39208
3 455 14 1.04736 1.00903 0.287574 0.00164223 1.43426
5 335 28 -0.445549 -1.55989 0.121155 0.00144452 1.10607
5 340 20 0.389117 -1.55656 0.5811 0.000803662 0.65605
5 341 18 -0.121207 -1.55989 0.438236 0.00121806 0.911042
5 350 20 0.791119 -1.55087 0.183507 0.000523413 0.435814
5 356 8 -0.679305 1.50259 0.476572 0.000806207 0.811891
5 366 18 0.677824 1.49826 0.474055 0.000587066 0.687431
5 367 6 0.683524 1.50021 -0.470894 0.00278141 1.909
5 375 10 1.11571 0.603541 0.278947 0.000714417 0.597839
5 378 12 1.12208 -0.256895 -0.275446 0.000859638 0.735992
5 381 10 0.987308 -0.265603 -0.6027 0.00153009 1.29669
5 382 4 0.940467 0.15453 -0.553142 0.00120141 0.815621
5 382 14 0.940467 0.15453 -0.553142 0.00197947 1.34383
5 383 6 0.27232 0.603652 -1.12871 0.00090416 0.73509
5 383 22 0.27232 0.603652 -1.12871 0.00168535 1.3702
5 385 14 -0.267693 -0.680675 -1.13026 0.000885519 0.774733
5 386 4 -0.269554 0.604503 -1.12894 0.00150791 1.25242
5 388 12 -0.271416 -0.248554 -1.12762 0.00114274 0.93133
5 389 4 0.596843 0.603652 -0.995037 0.00195272 1.62591
5 404 16 -0.938199 0.15471 0.554067 0.00171601 1.27774
5 407 18 0.602362 -0.257622 0.984375 0.000511265 0.466483
5 412 12 -0.273005 -0.264034 1.12638 0.000619236 0.525221
5 417 26 -1.05665 -1.14088 0.259726 0.0014613 1.27959
5 424 14 -1.05665 0.15471 0.259726 0.00185435 1.50516
5 436 16 -0.274461 -1.14543 -1.04804 0.00133073 1.13254
5 438 0 0.550774 1.00917 -0.943521 0.00541921 4.34579
5 440 12 0.276007 0.156461 -1.06118 0.0012059 1.04226
5 441 4 0.550774 0.156461 -0.943521 0.00121483 1.01745
5 447 16 -0.267873 -0.711104 1.05881 0.00166044 1.37113
5 458 10 0.940467 -0.705865 -0.553142 0.00175775 1.41298
5 460 10 -0.270611 1.00711 1.05673 0.00101061 0.816986
6 334 6 -0.775424 -1.55989 -0.172676 0.00441862 2.86366
6 336 4 -0.57756 -1.55118 -0.371039 0.000783839 0.673401
6 343 8 0.148044 -1.55989 -0.473932 0.00221845 1.63122
6 344 4 -0.0498202 -1.55989 -0.27557 0.00130245 1.15568
6 351 4 0.67025 -1.55989 -0.355213 0.00200314 1.49936
6 354 8 0.468804 1.50338 0.667847 0.000114442 0.0675974
6 356 8 -0.679305 1.50259 0.476572 0.000152264 0.153338
6 360 10 -0.468627 1.50284 -0.666452 0.00101072 0.781083
6 363 6 0.154679 1.50033 -0.818467 0.000808981 0.566911
6 363 22 0.154679 1.50033 -0.818467 0.00152297 1.06725
6 369 22 0.150493 1.49826 0.813342 0.000507412 0.632684
6 370 30 -0.0268918 1.49826 0.300221 0.00176585 1.49268
6 371 6 -0.296992 1.49826 -0.000172272 0.00244864 1.58899
6 374 16 0.980274 -0.683454 0.609862 0.00229855 1.9781
6 376 36 1.11571 -0.268439 0.278947 0.00136028 1.17266
6 379 10 1.12145 -0.680034 -0.27666 0.00122029 0.99211
6 387 0 0.27232 -0.255616 -1.12871 0.0228564 17.5683
6 387 14 0.27232 -0.255616 -1.12871 0.00160999 1.2375
6 388 6 -0.271416 -0.248554 -1.12762 0.000719319 0.586242
6 390 2 0.598148 -0.265697 -0.99431 0.0116847 11.3114
6 390 14 0.598148 -0.265697 -0.99431 0.000905395 0.876471
6 391 6 -0.599435 -0.250127 -0.989945 0.00180298 1.50248
6 397 20 -1.12599 0.602282 0.263394 0.00091171 0.762937
6 403 18 -0.986931 0.602692 -0.597985 0.000945068 1.1002
6 404 6 -0.938199 0.15471 0.554067 0.00172623 1.28535
6 406 16 0.277282 -0.254911 1.1262 0.00215327 1.53258
6 412 8 -0.273005 -0.264034 1.12638 0.00150405 1.2757
6 413 16 0.602362 0.602422 0.984375 0.000554015 0.475549
6 418 2 -0.941372 -1.14774 -0.540199 0.0025229 2.10067
6 420 12 -0.938199 -0.715151 0.554067 0.0025637 2.38705
6 432 4 -0.547101 -0.704891 -0.948009 0.00147698 1.13179
6 433 10 0.550774 -1.13919 -0.943521 0.00129173 1.11742
6 436 0 -0.274461 -1.14543 -1.04804 0.0072741 6.19072
6 436 10 -0.274461 -1.14543 -1.04804 0.00141374 1.20318
6 439 4 0.273834 -0.712012 -1.0643 0.00310849 2.55633
6 454 4 1.05467 -1.14426 -0.266429 0.000829709 0.717741
6 458 4 0.940467 -0.705865 -0.553142 0.00106944 0.859675
6 463 14 -0.549445 0.154402 0.936792 0.00145371 1.2619
9 332 6 -0.643413 -1.55989 0.319517 0.00214862 1.80556
9 336 12 -0.57756 -1.55118 -0.371039 0.00121083 1.04023
9 348 14 0.593255 -1.55989 0.381869 0.000539703 0.430042
9 353 6 -0.813383 1.49826 0.150272 0.000450569 1.38211
9 360 14 -0.468627 1.50284 -0.666452 0.000134694 0.104091
9 364 10 0.294472 1.49826 0.0210051 0.00145219 1.14076
9 367 12 0.683524 1.50021 -0.470894 0.0034139 2.3431
9 371 26 -0.296992 1.49826 -0.000172272 0.000724548 0.470181
9 375 14 1.11571 0.603541 0.278947 0.0009487 0.793892
9 383 12 0.27232 0.603652 -1.12871 0.00173844 1.41337
9 390 10 0.598148 -0.265697 -0.99431 0.00334434 3.23751
9 394 6 -0.988155 -0.258641 -0.592946 0.00151408 1.95617
9 395 6 -1.12497 -0.692034 0.261124 0.000855673 0.741485
9 395 32 -1.12497 -0.692034 0.261124 0.00134234 1.16321
9 397 6 -1.12599 0.602282 0.263394 0.00163192 1.36562
9 398 2 -1.12268 0.602692 -0.275456 0.0108661 9.16969
9 399 8 -0.985707 -0.68356 -0.603023 0.00150745 1.31196
9 400 2 -0.989842 0.602282 0.590253 0.00716292 6.27226
9 401 4 -1.12268 -0.263086 -0.275456 0.00615421 5.51453
9 402 0 -0.989842 -0.264831 0.590253 0.000832984 0.914362
9 404 0 -0.938199 0.15471 0.554067 0.0102368 7.62232
9 407 12 0.602362 -0.257622 0.984375 0.00195826 1.78673
9 409 6 -0.587648 -0.267541 0.99154 0.00173623 1.52972
9 409 32 -0.587648 -0.267541 0.99154 8.05816e-05 0.070997
9 415 6 0.272041 0.602422 1.12552 0.000887364 0.947026
9 421 2 -0.941372 0.158238 -0.540199 0.00543111 4.5678
9 422 0 -0.941372 1.00794 -0.540199 0.000432611 0.333547
9 424 0 -1.05665 0.15471 0.259726 0.00740256 6.00857
9 425 8 -1.05524 0.151641 -0.26962 0.000418559 0.326489
9 427 4 -1.05098 -1.14774 -0.277048 0.000563038 0.484542
9 429 14 -0.273348 -1.1537 1.05465 0.00129132 1.12485
9 432 10 -0.547101 -0.704891 -0.948009 0.00201587 1.54473
9 436 18 -0.274461 -1.14543 -1.04804 0.00189033 1.60879
9 440 12 0.276007 0.156461 -1.06118 0.000869687 0.751674
9 463 8 -0.549445 0.154402 0.936792 0.00164844 1.43094
12 338 6 0.0766569 -1.55989 0.239873 0.00331488 2.64767
12 347 2 0.274521 -1.55989 0.0415112 0.00242262 1.77872
12 350 12 0.791119 -1.55087 0.183507 0.000997634 0.830669
12 378 22 1.12208 -0.256895 -0.275446 0.00178654 1.52957
12 379 8 1.12145 -0.680034 -0.27666 0.000387783 0.31527
12 394 16 -0.988155 -0.258641 -0.592946 0.00100231 1.29497
12 408 8 -0.59746 -0.716475 0.985545 0.000901706 0.867859
12 412 10 -0.273005 -0.264034 1.12638 0.000707351 0.599959
12 429 10 -0.273348 -1.1537 1.05465 0.00131455 1.14508
12 434 6 0.27818 -1.14058 -1.05805 0.00126523 1.11968
12 449 8 1.04523 -0.711149 0.279606 0.00204431 1.64997
12 453 0 1.04736 -1.14666 0.287574 0.00731949 6.3208
12 454 4 1.05467 -1.14426 -0.266429 0.00216719 1.87473
14 335 20 -0.445549 -1.55989 0.121155 0.00103856 0.795224
14 355 14 -0.47802 1.50184 0.683966 0.00386769 2.51639
14 377 10 0.980773 -0.260593 0.610842 0.00104761 0.956723
14 378 14 1.12208 -0.256895 -0.275446 0.00131156 1.12291
14 382 2 0.940467 0.15453 -0.553142 0.00315625 2.14274
14 383 6 0.27232 0.603652 -1.12871 0.00199366 1.62087
14 384 4 -0.601978 0.606756 -0.985573 0.00220177 1.83941
14 385 2 -0.267693 -0.680675 -1.13026 0.00561098 4.90899
14 386 6 -0.269554 0.604503 -1.12894 0.00598803 4.97345
14 387 2 0.27232 -0.255616 -1.12871 0.00780932 6.00255
14 388 4 -0.271416 -0.248554 -1.12762 0.0058922 4.80212
14 389 4 0.596843 0.603652 -0.995037 0.0125928 10.4853
14 390 0 0.598148 -0.265697 -0.99431 0.00575007 5.56638
14 391 2 -0.599435 -0.250127 -0.989945 0.00278332 2.31943
14 392 0 0.595539 -0.685606 -0.995765 0.014026 12.4897
14 393 0 -0.548115 0.157547 -0.938666 0.00172188 1.1441
14 394 12 -0.988155 -0.258641 -0.592946 0.00121611 1.5712
14 395 8 -1.12497 -0.692034 0.261124 0.000621767 0.538793
14 396 14 -1.12701 -0.269387 0.265664 0.00237204 2.08256
14 400 24 -0.989842 0.602282 0.590253 0.000201493 0.176439
14 401 14 -1.12268 -0.263086 -0.275456 0.000895334 0.802271
14 418 12 -0.941372 -1.14774 -0.540199 0.000754324 0.62808
14 420 12 -0.938199 -0.715151 0.554067 0.00149321 1.39033
14 424 16 -1.05665 0.15471 0.259726 0.00163093 1.32381
14 426 16 -0.938199 1.00742 0.554067 0.000664748 0.613803
14 433 4 0.550774 -1.13919 -0.943521 0.000851305 0.736423
14 435 8 -0.274461 0.157547 -1.04804 0.000118858 0.094557
14 437 6 0.276007 1.00917 -1.06118 0.000615108 0.477198
14 438 6 0.550774 1.00917 -0.943521 0.00376296 3.01761
14 439 2 0.273834 -0.712012 -1.0643 0.0112572 9.25756
14 440 2 0.276007 0.156461 -1.06118 0.00115662 0.999668
14 441 0 0.550774 0.156461 -0.943521 0.0047489 3.9773
14 443 8 -0.274461 1.01245 -1.04804 0.00125894 0.959558
14 453 12 1.04736 -1.14666 0.287574 0.00114094 0.985268
14 463 16 -0.549445 0.154402 0.936792 0.00127084 1.10316
15 337 16 0.191253 -1.55989 0.779463 0.00124088 0.827257
15 337 26 0.191253 -1.55989 0.779463 0.00187365 1.2491
15 340 14 0.389117 -1.55656 0.5811 0.00141631 1.15617
15 343 16 0.148044 -1.55989 -0.473932 0.00068788 0.505794
15 344 16 -0.0498202 -1.55989 -0.27557 0.00216158 1.918
15 348 14 0.593255 -1.55989 0.381869 0.00202133 1.61062
15 356 4 -0.679305 1.50259 0.476572 0.00267516 2.69401
15 369 6 0.150493 1.49826 0.813342 0.00133694 1.66701
15 370 6 -0.0268918 1.49826 0.300221 0.00120944 1.02235
15 371 18 -0.296992 1.49826 -0.000172272 0.00177448 1.15151
15 373 8 1.12177 0.602141 -0.276053 0.00194399 1.67153
15 374 12 0.980274 -0.683454 0.609862 0.00164503 1.41569
15 379 12 1.12145 -0.680034 -0.27666 0.00059799 0.486171
15 384 16 -0.601978 0.606756 -0.985573 0.00139628 1.16648
15 388 12 -0.271416 -0.248554 -1.12762 0.000872392 0.710996
15 390 14 0.598148 -0.265697 -0.99431 0.00190185 1.84109
15 391 10 -0.599435 -0.250127 -0.989945 0.00289981 2.41651
15 393 18 -0.548115 0.157547 -0.938666 0.00194555 1.29272
15 396 14 -1.12701 -0.269387 0.265664 0.00157977 1.38698
15 403 16 -0.986931 0.602692 -0.597985 0.00105043 1.22285
15 405 4 0.553883 0.154889 0.93738 0.000482435 0.404049
15 407 8 0.602362 -0.257622 0.984375 0.00153981 1.40494
15 411 8 -0.592554 0.60204 0.988542 0.00500641 4.80001
15 413 4 0.602362 0.602422 0.984375 0.00492837 4.23036
15 414 24 0.266799 -0.692491 1.12485 0.00127163 1.1508
15 417 20 -1.05665 -1.14088 0.259726 0.000389246 0.340846
15 425 14 -1.05524 0.151641 -0.26962 0.000633171 0.493893
15 427 16 -1.05098 -1.14774 -0.277048 0.00165926 1.42793
15 432 14 -0.547101 -0.704891 -0.948009 0.00146345 1.12142
15 433 14 0.550774 -1.13919 -0.943521 0.00311922 2.69829
15 437 8 0.276007 1.00917 -1.06118 0.001091 0.846396
15 439 18 0.273834 -0.712012 -1.0643 0.00102772 0.845166
15 448 12 1.05467 1.00724 -0.266429 0.000623253 0.512122
15 450 10 0.930484 0.166217 0.567959 0.00133375 1.13801
15 459 2 0.930484 1.00903 0.567959 0.0017959 1.42193
15 461 8 0.553883 1.0076 0.93738 0.000574043 0.466701
16 334 18 -0.775424 -1.55989 -0.172676 0.00167078 1.08281
16 344 6 -0.0498202 -1.55989 -0.27557 0.000895917 0.794958
16 351 28 0.67025 -1.55989 -0.355213 0.00174708 1.3077
16 353 10 -0.813383 1.49826 0.150272 0.000171975 0.527531
16 354 16 0.468804 1.50338 0.667847 0.00190662 1.12618
16 355 26 -0.47802 1.50184 0.683966 0.00156742 1.01979
16 356 12 -0.679305 1.50259 0.476572 0.00108725 1.09491
16 356 22 -0.679305 1.50259 0.476572 0.00179092 1.80355
16 357 12 -0.81581 1.49826 -0.136478 0.00172482 1.03593
16 358 12 -0.685076 1.49826 -0.463513 0.00236073 3.39185
16 359 12 -0.151149 1.49826 -0.81322 0.000126457 0.602175
16 360 10 -0.468627 1.50284 -0.666452 0.00350321 2.70728
16 364 10 0.294472 1.49826 0.0210051 0.00209236 1.64364
16 366 12 0.677824 1.49826 0.474055 0.00067537 0.790831
16 370 14 -0.0268918 1.49826 0.300221 0.00159984 1.35236
16 372 22 0.980524 0.603541 0.610352 0.00124288 0.89287
16 373 32 1.12177 0.602141 -0.276053 0.00112369 0.966203
16 374 28 0.980274 -0.683454 0.609862 0.000341813 0.294159
16 380 24 0.987308 0.602141 -0.6027 0.00142975 1.2869
16 382 42 0.940467 0.15453 -0.553142 0.00164756 1.11851
16 384 8 -0.601978 0.606756 -0.985573 0.00391691 3.27227
16 386 8 -0.269554 0.604503 -1.12894 0.00280623 2.33076
16 387 0 0.27232 -0.255616 -1.12871 0.00988969 7.6016
16 388 8 -0.271416 -0.248554 -1.12762 0.00107171 0.873442
16 391 8 -0.599435 -0.250127 -0.989945 0.00121544 1.01287
16 392 0 0.595539 -0.685606 -0.995765 0.0227315 20.2418
