eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
2 0.0635532 53.9805 8.21259 0.233375 33
3 0.0448016 37.4516 2.72718 0.17321 32
4 0.0351752 29.2416 2.64695 0.214914 22
6 0.163577 136.056 15.7364 0.178289 54
9 0.131369 110.31 9.16327 0.142674 64
10 0.10107 81.451 11.7355 0.246141 33
11 0.158494 131.255 13.295 0.161166 66
12 0.0671845 56.7582 9.99864 0.27191 29
15 0.158481 135.284 9.62158 0.145922 67
17 0.0456554 40.2084 3.80987 0.188395 30
18 0.0137437 10.8608 2.02715 0.314844 11
19 0.168478 138.548 9.02434 0.130215 79
20 0.111733 92.3386 8.23764 0.190181 53
21 0.13762 111.462 16.988 0.18515 57
22 0.0290682 23.311 2.79909 0.242695 20
24 0.170066 139.009 19.6678 0.177537 67
25 0.0154521 12.4267 2.63503 0.333259 11
27 0.0686568 57.1817 6.93373 0.17101 44
29 0.143941 122.532 18.1061 0.17609 68
30 0.0882652 75.668 6.86542 0.183335 45
31 0.0937808 75.9442 9.22082 0.193267 50
32 0.136056 115.583 12.6934 0.1847 57
35 0.115874 101.882 13.7667 0.201893 53
36 0.152608 128.422 6.51382 0.131391 69
38 0.113575 92.395 8.07482 0.148167 59
39 0.150605 119.914 7.83628 0.149162 58
40 0.0111423 9.25876 2.0893 0.343184 10
42 0.144322 118.786 6.54368 0.12477 71
43 0.108027 89.6646 5.36894 0.150718 54
45 0.11044 91.2569 9.49651 0.183069 54
46 0.0313495 28.5076 2.61753 0.208928 27
49 0.119678 101.82 7.76228 0.157574 53
50 0.058093 54.3939 18.9947 0.370672 27
51 0.0242154 20.4313 1.81699 0.240942 19
52 0.150145 121.816 6.88851 0.144017 64
53 0.158253 129.013 7.7564 0.144848 61
56 0.170982 141.139 32.4637 0.318678 46
58 0.203052 169.11 23.5836 0.222215 52
60 0.0623882 54.5357 5.74419 0.193779 34
63 0.0858338 75.3721 13.9486 0.242263 41
64 0.0178356 15.1616 4.07644 0.358461 11
65 0.07019 60.5879 10.5037 0.254722 37
66 0.130149 110.005 12.3582 0.206732 44
67 0.142237 118.598 5.91821 0.132262 65
68 0.124221 100.795 16.2376 0.212904 47
69 0.168184 140.856 10.6338 0.151749 66
71 0.0834558 67.9481 19.4832 0.332017 30
72 0.0364561 29.5815 4.27564 0.263653 19
74 0.0441798 36.6242 4.66818 0.223829 26
75 0.116947 100.497 18.1075 0.223089 55
77 0.108131 89.9998 5.60359 0.139793 60
79 0.00480732 3.97077 1.14163 0.480039 5
80 0.00906351 7.38539 2.14652 0.411623 7
81 0.0687789 60.0441 15.4863 0.297591 31
82 0.165033 146.919 16.2689 0.162028 58
83 0.0840712 70.7784 5.5258 0.178508 45
84 0.0169576 14.3969 2.84236 0.29319 14
85 0.101043 82.1178 11.151 0.211641 46
86 0.098806 82.1584 13.3649 0.26652 28
87 0.122484 102.379 10.0663 0.183381 52
89 0.158647 130.204 11.4131 0.173976 57
91 0.0658893 57.3785 3.85912 0.160523 40
92 0.18428 153.754 19.2799 0.172835 69
93 0.0579028 49.2226 4.27358 0.201031 30
94 0.0750102 61.8995 5.62454 0.165597 43
95 0.109054 91.2105 19.3907 0.267729 50
96 0.127398 106.525 15.4585 0.190854 51
98 0.0481028 41.2757 4.0791 0.203307 27
99 0.0905986 79.7667 12.0542 0.225477 42
100 0.148485 127.158 14.414 0.151073 73
101 0.0516512 45.0794 2.95584 0.169564 36
102 0.0378901 31.6491 4.24879 0.269761 23
103 0.0954959 84.8644 8.02249 0.160027 49
104 0.122348 101.02 8.02403 0.1529 61
105 0.103733 84.8899 5.29895 0.156664 47
106 0.137487 117.072 10.5263 0.174459 53
107 0.0986153 80.5642 17.249 0.243819 42
108 0.0696616 51.5461 15.7254 0.36162 26
109 0.0446502 35.2649 10.9835 0.354218 21
110 0.0760742 62.2462 9.92286 0.222902 36
111 0.0879449 74.0838 8.62789 0.195019 43
113 0.14581 122.379 5.68821 0.125815 69
114 0.108463 91.1449 14.3223 0.22986 39
115 0.173794 151.103 11.8422 0.166096 59
116 0.10468 85.2329 9.75278 0.193929 44
118 0.105407 86.6424 7.3688 0.151262 55
119 0.00732112 5.66603 1.50135 0.446377 6
120 0.141962 129.2 14.7998 0.196276 53
121 0.021663 17.4325 2.46672 0.279895 15
122 0.123124 104.266 8.2247 0.181285 46
124 0.0719968 61.5526 9.43416 0.211589 43
126 0.164737 137.002 8.2361 0.127006 69
127 0.116986 101.048 5.7987 0.132486 61
128 0.119105 101.991 10.0456 0.174219 48
129 0.174813 144.814 10.9236 0.137688 68
130 0.150698 114.421 38.5699 0.411476 34
131 0.18534 152.173 10.6097 0.138 69
132 0.00716273 5.53179 1.24975 0.439476 5
133 0.165798 135.598 15.9891 0.204337 51
134 0.172953 141.084 12.2339 0.152882 62
135 0.144868 117.831 9.762 0.175207 53
136 0.135293 113.379 15.0444 0.209083 58
138 0.152781 129.034 17.6796 0.187572 53
139 0.045737 36.4472 10.0094 0.344621 17
