eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
0 -146.755 -101.777 7.44829 0 0.236121 -0.740699 -0.628977 15.511 0.0686832
1 -45.9716 171.508 -118.919 0 -0.843548 -0.0193911 0.536704 15.511 0.0591598
2 90.7267 -166.821 -48.1281 0 -0.816082 0.552248 -0.170388 15.511 0.0383962
3 -118.738 -97.8409 -27.9967 0 -0.705891 0.700736 -0.103379 15.511 0.0555916
4 37.3214 -174.488 125.663 0 -0.276888 0.736527 -0.617139 15.511 0.0571702
5 10.7331 -161.363 -43.7228 0 0.777427 -0.628966 0.00290501 15.511 0.0465132
6 69.6125 55.441 -44.9811 0 0.0848999 0.589909 0.802994 15.511 0.0629353
7 36.031 2.49453 125.725 0 0.710453 -0.122462 0.693008 15.511 0.062296
8 -27.8547 -64.4235 -131.729 0 -0.760164 -0.0724578 -0.645678 15.511 0.0478128
9 58.5222 -21.4079 -88.544 0 0.233965 0.277249 0.931876 15.511 0.0668925
10 -16.0399 -95.2906 -22.1722 0 -0.0140387 -0.952147 0.305319 15.511 0.0658726
11 1.30219 126.481 -30.5013 0 -0.545123 -0.838034 0.0232546 15.511 0.0705386
12 53.0742 131.253 59.9027 0 0.916105 0.218909 -0.335904 15.511 0.0303333
13 -139.676 129.513 54.1052 0 -0.869367 -0.485719 -0.0909829 15.511 0.0281175
14 -89.5923 -105.222 117.345 0 -0.0772147 -0.888589 -0.452159 15.511 0.0743408
15 54.5585 96.5793 3.1334 0 -0.566913 -0.626546 0.534837 15.511 0.05888
16 78.7136 -123.089 -115.771 0 0.950728 -0.159803 0.26567 15.511 0.064953
17 -108.758 -50.2166 -102.347 0 0.395943 0.636312 0.66207 15.511 0.0470788
18 58.5954 -171.279 -94.1057 0 0.46664 -0.453414 -0.759383 15.511 0.0488002
19 116.338 -108.551 4.59237 0 -0.968845 -0.0894928 0.230934 15.511 0.0635795
20 14.6143 -92.4445 -81.4564 0 -0.0538792 -0.873902 0.483107 15.511 0.0690411
21 -45.0372 60.7793 49.363 0 0.392937 0.500898 -0.771169 15.511 0.0405825
22 64.8649 -155.207 20.0287 0 0.0413415 0.0962736 0.994496 15.511 0.0555422
