eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
2 0.0301474 24.2646 2.41438 0.248036 21 10.7619
3 0.00967468 7.81581 3.72929 0.538069 5 7.2
6 0.0130256 11.3976 2.20439 0.38992 11 8.36364
8 0.00715827 5.73803 2.13536 0.519695 6 9.66667
10 0.0230005 19.6573 4.91844 0.369441 11 4.72727
11 0.0272844 22.5875 4.71708 0.335198 13 8
12 0.023809 19.806 2.61761 0.266922 15 10.5333
13 0.0142839 11.5171 1.78887 0.325936 11 3.63636
15 0.00842366 7.38762 1.7698 0.416149 6 8.66667
16 0.0228144 20.1429 2.63 0.236858 19 8.73684
17 0.0262559 22.2977 4.85765 0.328118 14 6.85714
18 0.0209032 16.8504 3.21123 0.319255 13 6.46154
19 0.0172146 14.8911 3.08769 0.31717 13 12.1538
22 0.00695507 5.56356 1.88173 0.479263 5 11.2
24 0.016842 13.8112 2.24519 0.302105 13 7.69231
25 0.0100488 8.77392 1.70558 0.384884 7 6
27 0.0253246 21.8357 7.49316 0.389604 15 12.1333
28 0.0104892 9.00923 2.30811 0.38549 8 10
29 0.00810527 6.74766 1.19934 0.35585 8 16.25
31 0.0103371 9.05249 2.32194 0.424868 6 6
32 0.0113944 10.689 2.95779 0.38662 10 10
33 0.00961679 8.03397 3.16589 0.497599 5 3.6
34 0.005269 4.47625 1.55835 0.515017 5 10.4
35 0.0155166 13.0325 4.045 0.399113 9 6.66667
38 0.0119536 10.1715 1.72462 0.325666 11 6
39 0.0121913 10.9484 1.63961 0.330786 9 9.55556
40 0.0153153 12.6909 2.32329 0.335629 9 6.44444
41 0.0204674 14.8225 6.64027 0.481144 10 5.6
42 0.0266508 23.0414 3.43878 0.298052 16 8.375
45 0.0235816 20.0471 3.82883 0.314188 15 10.4
46 0.0129773 10.8555 4.33214 0.445509 9 8.22222
47 0.0124261 10.0219 2.58283 0.397036 9 6.66667
50 0.00616564 5.18844 1.28056 0.436155 6 5.66667
51 0.0363196 30.3418 6.81279 0.282344 20 7.4
52 0.0150664 13.4248 1.98672 0.301564 11 7.81818
