EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
2 361 4 0.483502 1.50132 -0.677697 0.000783449 0.83971
2 362 12 0.814633 1.49826 -0.143337 0.00113011 0.989586
2 363 8 0.154679 1.50033 -0.818467 0.00102627 0.719182
2 364 10 0.294472 1.49826 0.0210051 0.00199168 1.56455
2 370 8 -0.0268918 1.49826 0.300221 0.0019826 1.67591
2 371 6 -0.296992 1.49826 -0.000172272 0.000665034 0.43156
2 373 4 1.12177 0.602141 -0.276053 0.00191868 1.64977
2 373 14 1.12177 0.602141 -0.276053 0.000760555 0.65396
2 380 6 0.987308 0.602141 -0.6027 0.00109098 0.98198
2 382 0 0.940467 0.15453 -0.553142 0.00269016 1.82631
2 382 16 0.940467 0.15453 -0.553142 0.00238675 1.62033
2 386 8 -0.269554 0.604503 -1.12894 0.00161244 1.33924
2 387 8 0.27232 -0.255616 -1.12871 0.00131116 1.00781
2 409 12 -0.587648 -0.267541 0.99154 0.000566414 0.499043
2 415 38 0.272041 0.602422 1.12552 0.000810816 0.865332
2 440 36 0.276007 0.156461 -1.06118 0.00127928 1.10569
2 443 10 -0.274461 1.01245 -1.04804 0.000900457 0.686324
2 455 12 1.04736 1.00903 0.287574 0.00131482 1.14831
2 456 4 0.940467 1.00724 -0.553142 0.00152359 1.27072
2 457 2 1.05467 0.15453 -0.266429 0.0031894 2.41438
2 458 8 0.940467 -0.705865 -0.553142 0.00121273 0.974866
3 332 0 -0.643413 -1.55989 0.319517 0.00443786 3.72929
3 334 6 -0.775424 -1.55989 -0.172676 0.00127949 0.829225
3 407 10 0.602362 -0.257622 0.984375 0.00122239 1.11532
3 432 12 -0.547101 -0.704891 -0.948009 0.00160234 1.22785
3 449 8 1.04523 -0.711149 0.279606 0.0011326 0.914122
6 369 34 0.150493 1.49826 0.813342 0.00108774 1.35628
6 373 14 1.12177 0.602141 -0.276053 0.00179602 1.5443
6 374 0 0.980274 -0.683454 0.609862 0.000801126 0.689437
6 378 2 1.12208 -0.256895 -0.275446 0.00042732 0.365856
6 390 6 0.598148 -0.265697 -0.99431 0.000872923 0.845037
6 392 6 0.595539 -0.685606 -0.995765 0.00090174 0.802974
6 449 0 1.04523 -0.711149 0.279606 0.00273124 2.20439
6 449 10 1.04523 -0.711149 0.279606 0.00171412 1.38347
6 451 8 1.04949 0.158655 0.295542 0.000953579 0.770258
6 453 2 1.04736 -1.14666 0.287574 0.00111208 0.960349
6 457 10 1.05467 0.15453 -0.266429 0.000627743 0.475203
8 370 18 -0.0268918 1.49826 0.300221 0.00124984 1.0565
8 387 14 0.27232 -0.255616 -1.12871 0.00229295 1.76245
8 404 4 -0.938199 0.15471 0.554067 0.000803699 0.598436
8 420 0 -0.938199 -0.715151 0.554067 6.03059e-05 0.0561508
8 425 18 -1.05524 0.151641 -0.26962 0.000165549 0.129133
8 447 4 -0.267873 -0.711104 1.05881 0.00258592 2.13536
10 357 10 -0.81581 1.49826 -0.136478 0.000882677 0.530137
10 389 14 0.596843 0.603652 -0.995037 0.00131316 1.09339
10 402 6 -0.989842 -0.264831 0.590253 0.000993044 1.09006
10 404 4 -0.938199 0.15471 0.554067 0.00205919 1.53328
10 407 4 0.602362 -0.257622 0.984375 0.000939529 0.857234
10 408 2 -0.59746 -0.716475 0.985545 0.00123564 1.18926
10 409 2 -0.587648 -0.267541 0.99154 0.00123539 1.08845
10 414 0 0.266799 -0.692491 1.12485 0.00477122 4.31785
10 423 10 -1.05665 1.00742 0.259726 0.00209729 1.71768
10 429 0 -0.273348 -1.1537 1.05465 0.00151715 1.32156
10 447 0 -0.267873 -0.711104 1.05881 0.00595623 4.91844
11 338 14 0.0766569 -1.55989 0.239873 0.00115244 0.920478
11 358 12 -0.685076 1.49826 -0.463513 0.000396681 0.569943
11 377 12 0.980773 -0.260593 0.610842 0.0018884 1.72457
11 384 2 -0.601978 0.606756 -0.985573 0.00313066 2.61542
11 386 6 -0.269554 0.604503 -1.12894 0.00107629 0.893927
11 388 2 -0.271416 -0.248554 -1.12762 0.00494978 4.03405
11 391 2 -0.599435 -0.250127 -0.989945 0.00297364 2.47803
11 393 0 -0.548115 0.157547 -0.938666 0.00709921 4.71708
11 394 8 -0.988155 -0.258641 -0.592946 0.000901087 1.1642
11 403 8 -0.986931 0.602692 -0.597985 0.00105617 1.22954
11 435 2 -0.274461 0.157547 -1.04804 0.00087105 0.69296
11 440 2 0.276007 0.156461 -1.06118 0.000330131 0.285334
11 454 34 1.05467 -1.14426 -0.266429 0.00145884 1.26197
12 355 12 -0.47802 1.50184 0.683966 0.000560062 0.364387
12 361 6 0.483502 1.50132 -0.677697 0.00186677 2.00082
12 369 6 0.150493 1.49826 0.813342 0.00109412 1.36424
12 370 10 -0.0268918 1.49826 0.300221 0.000916862 0.775032
