eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
0 -146.755 -101.777 7.44829 0 0.236121 -0.740699 -0.628977 3.011 0.0102353
1 18.8129 159.565 143.024 0 0.441383 0.760826 -0.475736 3.011 0.00960688
2 28.9235 -20.5396 12.0006 0 0.48717 0.399186 -0.776734 3.011 0.00971632
3 -107.314 -145.035 75.9077 0 0.221643 0.264682 -0.938519 3.011 0.00870187
4 139.344 77.7782 -27.1901 0 -0.337349 0.837443 0.429982 3.011 0.0103782
5 113.926 177.548 -29.3238 0 -0.619911 0.162824 0.767593 3.011 0.00759213
6 51.5818 -94.7693 1.99877 0 0.879363 0.470658 -0.0721232 3.011 0.0104915
7 -126.489 173.142 -56.3911 0 -0.192279 0.350933 -0.916447 3.011 0.00844404
8 -105.503 -116.82 32.3957 0 0.897251 0.440229 -0.0337533 3.011 0.00755364
9 110.613 8.15811 -97.7701 0 0.59476 0.147376 0.790279 3.011 0.00963785
10 -20.9078 -101.889 104.837 0 0.128673 0.981198 0.143857 3.011 0.0108668
11 -24.6646 -5.83143 -65.2411 0 -0.247639 0.674612 -0.695395 3.011 0.0106792
12 -22.3918 37.887 -29.1704 0 0.118263 0.5321 0.838382 3.011 0.0104492
13 -22.532 85.7466 92.1929 0 -0.467927 0.802158 -0.370927 3.011 0.00908073
14 1.46749 -160.291 -101.084 0 0.279482 0.615624 -0.736815 3.011 0.00580282
15 35.09 12.5615 -95.2901 0 -0.500953 0.386237 -0.774511 3.011 0.00798817
16 -31.4563 -0.997483 27.6874 0 -0.886642 -0.460397 0.0435983 3.011 0.00938139
17 -45.8556 -6.70294 80.8775 0 0.7596 -0.644378 -0.0882318 3.011 0.00700657
18 -43.522 44.363 48.397 0 -0.00910733 0.938933 -0.34398 3.011 0.00835803
19 88.7223 -22.6484 8.70284 0 -0.0339733 0.936145 -0.349968 3.011 0.00898612
20 -126.995 -179.235 38.1359 0 0.875266 -0.378621 -0.300923 3.011 0.0109573
21 -144.649 -65.9758 -18.9076 0 -0.379389 0.902934 0.201925 3.011 0.00889355
22 -89.2568 133.664 -51.832 0 -0.744658 0.386249 -0.544331 3.011 0.00782932
23 35.1049 99.3041 -133.287 0 0.589638 -0.0839286 -0.803295 3.011 0.00902906
24 -48.3022 52.4551 -70.9386 0 0.668789 -0.465608 -0.579595 3.011 0.00911725
25 -112.062 -96.7848 11.1194 0 -0.515518 0.824873 -0.232001 3.011 0.00607922
26 138.735 164.921 47.6866 0 0.758648 -0.509469 -0.406071 3.011 0.0113782
27 88.4768 -1.96783 49.4837 0 -0.718659 -0.26509 0.642851 3.011 0.00817184
28 52.7834 -83.5799 85.2442 0 0.882237 0.0474027 0.468412 3.011 0.00708855
29 -13.1928 -132.26 86.1353 0 0.156036 0.394451 0.905573 3.011 0.0125634
30 58.4727 171.23 -49.131 0 -0.183288 -0.903212 0.388089 3.011 0.00955524
31 -108.179 18.8371 78.3147 0 0.488372 0.700627 -0.520207 3.011 0.0107575
32 -20.3186 -143.355 -74.1944 0 0.0580113 0.819633 -0.569945 3.011 0.00895774
33 26.8245 -124.598 -71.6157 0 0.80041 0.368932 -0.472476 3.011 0.00835185
34 44.3159 -102.948 115.494 0 0.614437 -0.501908 0.608733 3.011 0.00876438
35 -26.0707 -143.702 46.3599 0 0.518199 0.700832 0.490209 3.011 0.00890542
36 69.1193 -132.18 -63.4144 0 0.070487 -0.704339 -0.706355 3.011 0.00932288
37 30.4317 -8.20836 -134.064 0 -0.443504 0.888057 -0.121076 3.011 0.0107145
38 46.8306 -40.9766 82.7685 0 -0.444631 0.0645203 0.893387 3.011 0.00587824
39 60.8436 -28.7827 73.0795 0 0.0512724 -0.90139 0.429962 3.011 0.0104093
40 36.6406 120.278 -46.45 0 -0.011299 0.987402 0.157831 3.011 0.0101332
41 -46.6523 138.46 -23.1349 0 -0.795067 -0.306207 0.523551 3.011 0.00749992
42 -26.9845 38.1678 -96.54 0 -0.828547 0.0949276 0.551813 3.011 0.00903083
43 41.1917 -135.851 143.092 0 -0.351846 0.199246 -0.914606 3.011 0.00799844
44 -94.7978 -168.959 28.9663 0 0.69683 0.684386 -0.214579 3.011 0.0108589
45 -16.3618 102.998 -14.7081 0 0.671092 -0.700224 0.243563 3.011 0.0107722
46 -114.248 19.8949 -29.7065 0 -0.043827 0.365864 0.929636 3.011 0.0021195
