eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
1 0.153084 129.216 11.0367 0.14596 68 11.4706
2 0.0485306 42.4624 8.20969 0.251978 28 9.78571
5 0.126634 114.872 19.5175 0.205811 62 11.871
6 0.179659 149.81 17.5483 0.166467 75 10.7733
7 0.283852 234.193 16.8936 0.140357 93 11.4624
8 0.275534 228.981 20.3238 0.148191 85 12.7294
9 0.0877209 72.1579 10.2244 0.197565 44 11.5
10 0.212567 180.325 10.8014 0.144473 73 11.3425
11 0.151057 125.34 7.09369 0.118424 76 11.7105
12 0.235977 191.942 9.92452 0.119575 89 11.3483
13 0.0138467 13.0407 1.47585 0.284062 13 12.7692
15 0.204378 170.165 14.818 0.149118 81 11.8765
16 0.0135612 11.2051 2.61859 0.362818 9 6
17 0.165895 137.551 16.845 0.203899 55 13.3091
18 0.153508 130.76 16.6696 0.168693 67 13.2239
19 0.301743 254.783 31.3954 0.155735 103 11.3981
20 0.300121 246.282 23.1918 0.138147 85 13.1059
22 0.182042 152.333 9.51544 0.126194 80 10.35
24 0.16477 144.158 40.2766 0.330325 48 11.3333
25 0.201992 172.44 13.0083 0.165464 66 11.2727
26 0.245358 203.25 34.0079 0.265715 52 10.4615
27 0.167549 140.579 15.6316 0.176311 73 12.9863
28 0.238345 196.593 33.7204 0.238357 75 11.4933
29 0.106862 92.977 10.2975 0.177701 56 10.3929
30 0.212287 184.967 10.7456 0.128029 87 12.6437
32 0.283384 234.364 11.0604 0.112995 94 11.3617
33 0.148388 132.311 26.6238 0.291074 54 12.6667
34 0.283283 231.241 22.4201 0.169664 83 10.5542
36 0.0341229 28.4417 2.46884 0.214159 25 13.92
37 0.174324 145.156 16.8706 0.184634 68 12.8824
38 0.0828583 70.7023 8.91762 0.190055 47 12.3404
39 0.354063 298.743 22.191 0.154437 81 11.9012
40 0.11411 98.478 9.11316 0.185286 52 11.6923
41 0.111549 92.3757 23.3959 0.309626 40 11.8
42 0.124387 104.556 6.76271 0.142732 58 12.9655
43 0.309268 261.448 26.4686 0.176689 78 11.1795
46 0.254914 217.1 22.0934 0.19286 66 9.87879
49 0.324711 283.201 40.9786 0.219181 76 11.4474
50 0.288068 262.267 58.9332 0.259272 88 12.0455
51 0.155948 128.395 10.6135 0.175664 65 12.0923
55 0.147617 126.404 11.2489 0.152274 64 12.875
56 0.0752646 63.8394 5.1244 0.148352 48 11.9167
57 0.311622 261.383 27.8323 0.162935 94 13.6383
61 0.156576 134.276 14.4621 0.196383 58 11.8966
62 0.166641 147.47 13.6898 0.196461 53 10.3774
66 0.371323 311.575 33.5779 0.183944 82 11.8537
67 0.347024 283.559 24.9112 0.15902 85 10.4941
68 0.0351913 29.1277 3.92793 0.234137 23 9.65217
70 0.0964428 79.7781 4.99214 0.152068 51 13.6471
71 0.172294 144.32 19.5824 0.200641 63 12.6667
72 0.150156 128.567 23.7722 0.241715 47 12.6383
74 0.254639 215.502 25.4323 0.152965 85 11.7412
75 0.0492311 39.2523 5.58101 0.241758 23 10.4348
78 0.197195 165.901 31.0311 0.230363 69 11.971
80 0.23864 205.677 11.776 0.124448 93 11.9355
81 0.192318 158.354 8.23628 0.122252 86 11.3953
82 0.150198 127.027 10.8079 0.139952 70 11.8857
84 0.0389574 33.4736 2.6365 0.202163 27 12.0741
85 0.144597 122.238 5.37666 0.116417 73 9.94521
86 0.0460438 38.8684 4.9622 0.190408 32 10.3125
87 0.315798 276.151 22.2357 0.146123 98 12.449
88 0.285827 238.204 10.3577 0.0968476 106 12.283
90 0.276745 239.578 39.113 0.207644 78 10.1282
91 0.172666 140.334 30.0958 0.247985 54 10.1111
92 0.31922 269.965 22.8638 0.168186 80 9.45
93 0.0528739 46.272 2.95014 0.1705 38 11.6842
94 0.136728 113.309 11.9038 0.164572 70 11.9429
97 0.182389 154.387 10.9355 0.140909 68 12.6471
98 0.134511 111.588 15.5836 0.188417 60 11.9667
99 0.0167067 14.0777 5.48402 0.440914 9 7.55556
100 0.253722 211.137 37.2288 0.23061 72 11.8611
101 0.0332286 26.5934 2.91223 0.214383 22 9.81818
102 0.0153389 12.8645 1.51389 0.287855 12 13
103 0.0429089 41.5484 18.9683 0.471818 20 9.7
104 0.311343 259.247 14.74 0.131768 97 11.3814
106 0.185329 153.378 10.6374 0.122393 82 11.1707
107 0.00731872 5.72175 1.61879 0.454496 5 13.2
108 0.103565 84.3727 10.0647 0.188636 46 12.5217
110 0.297971 249.189 77.2057 0.323857 81 10.6667
111 0.0482134 39.7227 3.40977 0.192448 34 12
112 0.205232 170.791 11.4539 0.149544 69 11.5942
113 0.315868 263.592 19.446 0.143847 87 10.3908
114 0.0602413 49.7305 6.48831 0.224551 29 11.3103
115 0.266806 221.446 20.5261 0.216412 60 12.6333
116 0.258602 218.818 13.6409 0.143783 81 11.0864
118 0.204916 168.862 23.0333 0.167843 77 11.9221
119 0.202138 173.232 16.6761 0.155109 78 12.0513
120 0.254414 209.876 8.9848 0.102925 95 10.3368
121 0.305075 249.685 28.7086 0.191176 87 10.6207
123 0.308631 244.469 30.4841 0.234144 60 11.5
124 0.0833393 69.8871 7.43362 0.180312 47 11.617
125 0.2776 230.16 14.2323 0.136011 92 12.2609
126 0.106961 88.2955 23.6198 0.295652 43 14.5581
127 0.145357 122.76 18.7821 0.255395 55 12.0727
128 0.0339543 31.0128 11.6545 0.433901 13 10.1538
129 0.0423205 34.0298 4.58225 0.229921 26 9.84615
130 0.207389 173.601 23.6364 0.15878 84 11.0238
131 0.00788481 6.89091 1.55048 0.417587 7 13.7143
132 0.142898 121.006 8.10416 0.153874 67 11.5821
133 0.0876015 66.3809 26.7273 0.476212 23 9.82609
134 0.052849 44.1963 3.6945 0.183566 34 12.4706
136 0.272765 235.283 25.3411 0.180609 84 12.0238
137 0.0726276 60.0294 6.29246 0.175689 44 10.6364
140 0.076635 65.0306 10.2627 0.212224 40 13.35
141 0.11765 99.0089 8.69216 0.153996 62 12.7742
144 0.0108374 8.74445 3.58295 0.486776 7 9.14286
145 0.291675 240.809 25.2011 0.200512 69 11.7971
147 0.235952 198.872 25.2367 0.16506 76 11.6053
149 0.0188518 15.7901 1.94826 0.261011 15 10.4
150 0.274774 225.663 21.3607 0.143545 99 11.7172
152 0.253391 202.418 28.8945 0.193761 70 13.7714
153 0.302986 252.349 22.5993 0.147851 88 11.6591
154 0.201397 163.786 16.4673 0.188995 61 11.4426
156 0.0370324 31.2693 2.34453 0.198094 26 13.8462
157 0.0405266 33.5333 3.49691 0.220751 25 9.44
159 0.232568 193.512 19.0208 0.175662 73 10.6575
161 0.1728 137.929 18.5109 0.195701 63 12
163 0.118746 102.259 31.0327 0.323572 51 12.8235
164 0.0187425 15.8422 2.06401 0.255358 16 11
165 0.337536 276.199 18.6109 0.140454 94 12.1489
166 0.213574 178.853 12.8751 0.142566 80 10.5
167 0.0955724 81.0724 10.2214 0.212095 42 10.619
168 0.109976 91.689 9.29336 0.164472 53 11.3208
169 0.0120342 10.8487 1.83814 0.311076 11 11.6364
171 0.0629099 60.5825 8.73132 0.232154 36 11.7778
172 0.151382 124.468 11.1068 0.163448 63 10.9841
173 0.355607 288.86 37.3879 0.195407 84 11.1429
175 0.0607726 49.7887 4.91351 0.186221 34 14.3529
176 0.279942 224.028 23.2681 0.199862 65 9.47692
178 0.220596 179.329 18.8254 0.181571 67 11.9403
179 0.19617 169.302 19.7946 0.165437 76 12.9737
180 0.103028 84.766 8.24832 0.173204 49 11.4286
181 0.334281 270.853 51.1579 0.230239 81 10.5185
183 0.0214941 19.8723 3.66305 0.303141 16 10
184 0.224037 189.783 10.0217 0.123587 92 12.1957
185 0.244388 204.59 21.0137 0.158286 82 11.7317
188 0.190527 159.052 10.0026 0.12877 77 10.6494
189 0.0147414 11.9253 2.14932 0.309407 11 7.81818
190 0.0191045 16.568 2.3396 0.261493 16 7.625
191 0.0510856 43.0775 3.34928 0.182608 34 12.2941
193 0.0875633 74.0995 9.85596 0.20194 45 11.8667
194 0.0525965 41.5875 7.3927 0.254216 27 12.7407
196 0.22133 185.107 15.8957 0.179807 69 11.0435
197 0.116247 101.426 22.9843 0.262959 47 11.3617
198 0.221642 187.69 9.50557 0.121529 80 12.075
199 0.158115 140.592 49.805 0.430833 35 8.22857
202 0.00708774 5.97798 1.27394 0.396147 7 8
203 0.200686 168.606 16.5249 0.176055 67 10.4776
204 0.292555 235.61 23.2362 0.143809 93 12.3871
206 0.319256 276.873 61.3355 0.340857 57 12.0351
207 0.117614 97.1226 14.5267 0.197287 55 10.7273
208 0.164095 139.759 21.8609 0.186848 68 13.9118
209 0.0109749 8.64008 1.68976 0.368592 8 7.5
211 0.131526 110.702 11.3751 0.193086 51 11.8431
212 0.141968 120.174 12.1844 0.170537 65 11.3846
213 0.255768 215.333 29.0206 0.177206 85 13.6941
214 0.120386 98.571 17.5105 0.244429 50 13.64
216 0.132053 112.259 11.2401 0.141636 62 9.87097
217 0.215822 184.196 21.1502 0.191954 84 13.3333
218 0.125609 103.718 10.6909 0.173178 55 9.27273
219 0.0048843 4.18372 1.04348 0.44987 5 11.2
220 0.110226 92.3613 14.9524 0.235113 46 12
222 0.243159 203.403 16.0479 0.156805 84 11.8571
224 0.204299 173.974 16.0247 0.16429 69 11.2174
225 0.256188 215.115 24.8028 0.167411 74 10.2162
226 0.120858 98.3404 8.36486 0.162567 58 12.1379
227 0.10876 90.4976 23.1625 0.316995 42 12.2857
228 0.167483 145.04 33.5809 0.261448 60 12.8667
231 0.100172 82.6506 4.70727 0.14094 58 10.1034
232 0.191817 160.934 24.3126 0.178892 80 11.425
233 0.164581 136.427 9.52877 0.141879 62 9.35484
234 0.258876 214.649 18.2943 0.173719 80 10.35
236 0.370897 310.848 12.9761 0.117855 105 11.4667
237 0.289576 240.243 26.3118 0.168122 84 12.2381
238 0.188864 157.889 10.0208 0.121297 91 12.3516
241 0.252547 210.892 32.3672 0.190935 83 12.2169
242 0.118665 98.5704 5.03227 0.128795 70 14.1429
243 0.0481369 48.2217 10.9943 0.274447 35 11.3143
244 0.283188 235.483 9.05217 0.096209 113 11.8053
245 0.367036 318.747 23.2613 0.146224 99 12.4444
246 0.301363 252.049 23.4338 0.146809 89 11.2809
248 0.243139 214.291 26.0628 0.230176 58 11.3448
249 0.293996 235.632 20.9949 0.145634 91 10.8352
250 0.181101 162.899 27.3298 0.227983 68 12.7647
251 0.115319 93.0704 21.7816 0.268773 46 12.0435
254 0.108176 91.4872 15.5529 0.203298 55 12.0364
255 0.0909343 73.924 16.6015 0.283838 36 8.72222
256 0.244544 204.385 21.4979 0.18476 65 10.8615
257 0.171015 149.093 27.5339 0.241974 58 11
258 0.142199 117.569 36.4395 0.313976 65 10.9538
261 0.307709 262.519 17.1732 0.135831 94 10.4468
262 0.27091 228.923 13.3356 0.119689 95 11.1579
263 0.0278494 23.4018 2.37016 0.231018 19 11.2632
264 0.349049 287.587 30.0235 0.188795 75 10
265 0.171099 140.439 19.4868 0.206254 59 11.1186
266 0.117993 99.6718 43.7756 0.464176 28 7.85714
267 0.346668 289.052 14.7752 0.10908 120 13.2167
268 0.281604 233.957 36.2454 0.173683 103 11.6505
269 0.0670331 57.4387 11.6813 0.249268 34 10.7647
270 0.0725696 59.5222 3.72306 0.150529 44 11.6818
271 0.20017 164.206 36.215 0.26873 64 12.5938
272 0.152991 137.401 49.5425 0.426193 38 13.4737
273 0.1097 93.0031 10.0093 0.18204 51 10.7451
275 0.260591 219.616 19.5181 0.159891 79 10.5063
276 0.314032 271.206 27.2217 0.175958 80 11.25
277 0.0530738 44.739 3.37223 0.179071 39 14.9744
279 0.226472 187.719 11.5505 0.118515 94 13.4681
280 0.218335 181.706 18.5188 0.153895 91 12
281 0.280763 225.985 14.7428 0.127669 94 12.5319
283 0.326391 265.607 28.7046 0.166538 96 11.2917
284 0.049571 42.2796 9.28968 0.280922 25 10.64
286 0.397775 328.723 24.9968 0.143133 103 11.068
287 0.142347 120.692 16.721 0.179889 60 14
288 0.102957 89.1019 6.08189 0.151191 56 10.7857
290 0.108325 90.1906 12.6112 0.186578 58 13.5172
291 0.177177 148.217 20.3073 0.215969 62 12.0968
292 0.117676 104.748 34.5728 0.355964 40 10.2
293 0.132759 111.494 39.0943 0.369613 47 11.5745
294 0.33599 283.622 20.5466 0.135928 107 11.757
295 0.0612489 52.5084 5.47735 0.212944 32 13.875
296 0.284975 241.614 20.3829 0.157438 99 14.6263
298 0.256707 216.279 16.4646 0.154365 89 10.2472
299 0.0844568 70.6082 19.6512 0.307807 36 10
300 0.376657 307.613 17.9049 0.133281 114 14.0351
301 0.33726 285.35 15.5975 0.102938 116 12.5862
304 0.262438 219.26 29.3074 0.18673 80 12
305 0.300592 251.101 17.9426 0.129149 105 11.8667
