eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
0 -146.755 -101.777 7.44829 0 0.236121 -0.740699 -0.628977 30.511 0.0995736
1 -45.2438 -164.085 -106.85 0 0.0871253 0.99411 -0.0644593 30.511 0.0589293
2 -129.685 -15.3592 15.9914 0 0.335636 0.287471 0.897055 30.511 0.101565
3 103.829 -130.815 -83.5338 0 0.84739 -0.318273 -0.425008 30.511 0.140168
4 -43.5287 169.116 -105.218 0 0.557816 -0.4221 -0.714613 30.511 0.132751
5 -100.625 -50.3311 1.31292 0 -0.500554 0.339437 -0.796384 30.511 0.143167
6 -7.67636 65.4103 -118.795 0 -0.62328 0.676051 0.393035 30.511 0.153984
7 15.0083 -57.9677 73.5102 0 0.504869 0.596658 -0.623784 30.511 0.113463
8 -78.5482 -96.3202 -23.094 0 0.817428 -0.00770007 0.57598 30.511 0.113355
9 3.45615 -70.8239 -111.216 0 0.812838 -0.547558 -0.198683 30.511 0.0836547
10 -131.469 -124.715 22.5614 0 0.934271 0.0183268 0.356094 30.511 0.142699
11 52.101 -40.2507 98.1961 0 -0.0854723 -0.595685 0.798658 30.511 0.14087
12 -39.6873 82.2569 86.3565 0 0.933799 0.339225 -0.113781 30.511 0.0964249
13 -113.846 50.459 -45.0069 0 -0.222745 -0.94431 -0.242204 30.511 0.0238232
14 -118.848 24.9329 -77.0042 0 0.524767 -0.813196 -0.25166 30.511 0.0868728
15 28.1668 127.757 -46.8994 0 0.485824 -0.724611 -0.488789 30.511 0.0976087
16 19.9918 -173.988 55.4633 0 0.89453 -0.444924 -0.0431024 30.511 0.103078
17 -71.5617 -106.377 36.5989 0 0.816221 -0.179796 0.549051 30.511 0.0849745
18 -116.322 -93.4801 1.03736 0 0.00399879 0.921341 -0.388735 30.511 0.118525
19 86.8471 9.89681 -86.4678 0 -0.162849 0.168905 0.972086 30.511 0.12868
20 -90.5978 67.2175 66.6413 0 0.237992 -0.745195 -0.622932 30.511 0.153835
21 104.098 -73.7376 98.6551 0 -0.998634 0.0418776 -0.0312502 30.511 0.0821269
22 91.5396 79.7769 -38.1221 0 -0.0582865 -0.376976 0.924387 30.511 0.080656
23 -124.87 -160.094 -39.0402 0 -0.552141 0.512518 -0.657621 30.511 0.146026
24 -10.13 -70.9943 47.2605 0 -0.258658 -0.810977 0.524798 30.511 0.0982663
25 -14.8145 -22.313 111.659 0 -0.460251 -0.6998 -0.546305 30.511 0.126763
26 -90.2465 -100.997 -25.0976 0 0.502022 -0.354621 -0.788808 30.511 0.147828
27 34.8059 63.7401 -107.569 0 -0.110341 -0.784626 -0.610071 30.511 0.11845
28 7.36286 -98.9936 62.0721 0 0.909808 -0.39188 -0.13667 30.511 0.0940267
29 -123.886 -26.5083 -31.7831 0 0.649046 0.736597 -0.190169 30.511 0.0559486
30 -99.1178 -24.3881 -62.5789 0 -0.643863 0.508368 0.571842 30.511 0.143283
31 -125.274 -154.644 -68.4733 0 -0.100085 -0.474408 -0.874597 30.511 0.120804
32 64.1802 -75.6763 -46.578 0 -0.273204 0.893828 0.355571 30.511 0.0826571
33 -7.47324 -129.703 14.837 0 -0.726681 -0.128215 0.674904 30.511 0.13338
34 -58.3108 -81.592 -45.1257 0 0.0253585 0.821383 -0.569813 30.511 0.123833
35 31.9301 -191.907 -85.7821 0 0.365238 -0.930282 -0.0343089 30.511 0.0717997
36 -25.632 115.165 -120.7 0 0.24688 -0.23791 -0.939388 30.511 0.0996596
37 -69.4717 -47.9573 -37.2342 0 -0.404164 -0.906387 0.122942 30.511 0.0673122
38 3.437 -126.828 -99.8056 0 -0.68044 -0.730926 0.0524309 30.511 0.142515
39 56.9678 -50.551 -30.7603 0 -0.226752 0.642714 0.73178 30.511 0.139347
40 -20.654 -133.651 73.5763 0 -0.312971 0.630866 0.70997 30.511 0.124498
41 82.401 145.994 -6.94183 0 0.607385 -0.31532 -0.729148 30.511 0.276195
42 -101.46 -185.735 -11.6194 0 0.215223 0.875474 0.432694 30.511 0.150685
43 0.376958 9.76937 47.0705 0 -0.320252 -0.921801 0.218452 30.511 0.106189
44 11.7994 -92.1341 -145.679 0 0.473314 -0.823227 -0.313482 30.511 0.118812
45 -54.297 188.143 34.5233 0 -0.852438 0.208883 -0.479287 30.511 0.148308
46 21.1944 98.9149 -53.2176 0 -0.910497 0.394138 0.125106 30.511 0.106021
47 -133.027 96.5143 -58.4205 0 0.281457 -0.230291 -0.93153 30.511 0.085407
48 127.285 -16.0635 51.3483 0 -0.223503 0.77958 0.585065 30.511 0.0876079
49 12.8656 94.7596 -16.7474 0 -0.697587 -0.211754 -0.684494 30.511 0.148598
50 -63.1355 -39.4638 20.8274 0 -0.76885 0.579469 -0.270343 30.511 0.111924
51 57.8865 -118.711 -114.144 0 0.693192 0.503152 0.516065 30.511 0.126203
52 87.837 187.64 49.6983 0 -0.263683 0.275854 0.924324 30.511 0.133209
53 -94.8485 54.7349 -115.138 0 -0.567788 -0.666178 -0.483552 30.511 0.0573906
54 10.1649 113.816 -138.942 0 0.882149 0.204727 0.424147 30.511 0.0944432
55 -81.7541 -150.385 104.379 0 -0.284006 0.531753 -0.79786 30.511 0.0642864
56 -42.5326 -129.628 -102.887 0 -0.637854 -0.346155 -0.687981 30.511 0.0976174
57 -4.48827 -64.6301 -67.9811 0 0.176546 -0.817415 0.548329 30.511 0.132509
58 -127.526 187.958 37.5265 0 0.968655 -0.22647 -0.102076 30.511 0.0493817
59 41.0909 189.262 120.351 0 -0.459445 0.887542 0.0343614 30.511 0.0916453
60 -31.6353 -181.32 -23.1641 0 -0.414497 -0.304601 0.857561 30.511 0.14433
61 -80.4333 155.073 -90.5425 0 -0.598121 -0.49766 0.628161 30.511 0.152795
62 -75.1305 -75.3247 -102.31 0 -0.45717 -0.0632687 0.887126 30.511 0.124108
63 -0.663865 110.814 146.875 0 0.838999 0.507069 0.197386 30.511 0.0873974
64 111.109 -161.695 -89.6527 0 -0.502925 0.844128 -0.185779 30.511 0.134615
65 -69.8862 -188.396 12.5071 0 -0.463977 0.674351 -0.574436 30.511 0.09819
66 4.81222 26.7083 -20.5136 0 -0.848286 0.449659 -0.279674 30.511 0.137762
67 -78.8382 7.43754 14.2798 0 0.521161 -0.522761 -0.67462 30.511 0.114512
68 -30.5922 140.348 117.477 0 -0.674084 0.32838 0.661648 30.511 0.120587
69 123.969 96.0518 -53.9196 0 0.524206 0.524283 0.67107 30.511 0.129318
70 -78.069 -120.398 -65.598 0 -0.293671 -0.781613 -0.550308 30.511 0.106652
71 114.047 -67.7434 -21.4799 0 0.649 -0.0364671 0.759914 30.511 0.0869838
72 -5.92679 -176.533 -75.7414 0 -0.0625387 0.976092 -0.208168 30.511 0.144801
73 110.764 -188.43 100.793 0 -0.831205 -0.527651 0.175162 30.511 0.120136
74 121.991 108.823 9.93354 0 -0.869417 0.171044 -0.463528 30.511 0.106312
75 98.5196 135.008 -66.7789 0 0.614185 -0.681192 -0.39844 30.511 0.114977
76 4.66946 191.472 -57.0849 0 0.122493 -0.579524 -0.805697 30.511 0.130266
77 -2.79211 193.121 -76.7342 0 -0.186949 0.97861 0.0858598 30.511 0.0567825
78 24.1006 -145.765 -49.7654 0 -0.908614 0.333224 0.25176 30.511 0.199377
79 52.0822 184.527 128.649 0 0.688051 -0.630618 -0.359036 30.511 0.140418
80 1.8764 -83.2961 122.07 0 0.39575 0.461643 -0.793894 30.511 0.110587
81 -105.596 89.3945 -45.9357 0 -0.156619 -0.81188 0.562425 30.511 0.111589
82 -97.5985 -9.9838 -51.7798 0 -0.615537 0.397714 -0.680395 30.511 0.123421
83 25.4338 183.169 -121.354 0 0.774124 -0.623252 0.11086 30.511 0.136268
84 19.0816 146.261 126.5 0 0.740597 -0.631596 0.229351 30.511 0.0287563
85 34.0174 4.01685 -120.479 0 -0.706965 -0.696225 -0.124384 30.511 0.0789149
86 -116.948 81.778 31.4904 0 -0.777451 -0.315251 0.544231 30.511 0.0496976
87 -77.2643 30.8764 -98.2945 0 0.777894 -0.575517 0.252311 30.511 0.143667
88 75.3227 -136.521 -31.7535 0 -0.568043 0.650104 0.50467 30.511 0.109615
89 143.887 159.904 -6.08079 0 -0.237107 -0.575526 0.782655 30.511 0.0975394
90 39.1559 152.714 -51.9931 0 -0.903032 -0.110276 -0.415177 30.511 0.115249
91 31.425 -10.5476 108.218 0 -0.341656 -0.939669 -0.0171411 30.511 0.296612
92 -14.6012 5.7694 6.1802 0 0.0813531 0.00674811 -0.996662 30.511 0.123594
93 -101.42 -40.6593 -6.46169 0 -0.603287 -0.466196 0.647075 30.511 0.0637267
94 61.7651 145.01 -24.5161 0 -0.266069 0.405002 -0.874746 30.511 0.153242
95 -136.977 -192.866 -18.7327 0 -0.655457 -0.470469 -0.590792 30.511 0.0913157
96 -79.4773 53.5318 101.605 0 -0.409199 -0.27023 0.871512 30.511 0.063133
97 -36.8164 -71.8524 114.29 0 -0.476314 0.0081604 -0.879237 30.511 0.119475
98 61.0965 -163.719 96.2513 0 0.381761 0.855832 0.349014 30.511 0.117596
99 -14.3103 -159.51 -32.0887 0 0.546566 -0.672197 0.499417 30.511 0.0178335
100 -83.3116 -39.467 10.4108 0 -0.201531 -0.951057 -0.234256 30.511 0.106952
101 -29.9861 189.789 10.9217 0 -0.587609 -0.673552 -0.448379 30.511 0.0256116
