eventNumber clusterNumber angle
2 0 51.0
3 0 39.0
5 0 45.0
6 0 60.0
9 0 48.0
12 0 39.0
14 0 33.0
15 0 39.0
16 0 36.0
17 0 39.0
18 0 39.0
20 0 45.0
21 0 40.5
23 0 45.0
25 0 40.5
26 0 45.0
30 0 48.0
31 0 42.0
34 0 42.0
35 0 39.0
37 0 45.0
41 0 48.0
42 0 36.0
44 0 39.0
45 0 51.0
48 0 45.0
49 0 45.0
50 0 36.0
51 0 42.0
53 0 42.0
54 0 39.0
56 0 40.5
58 0 45.0
59 0 42.0
60 0 45.0
61 0 48.0
63 0 45.0
64 0 39.0
65 0 60.0
67 0 54.0
68 0 45.0
70 0 45.0
73 0 45.0
75 0 30.0
76 0 36.0
77 0 39.0
78 0 33.0
79 0 42.0
80 0 45.0
81 0 36.0
82 0 42.0
84 0 45.0
87 0 39.0
88 0 46.5
89 0 39.0
90 0 42.0
91 0 49.5
92 0 42.0
93 0 42.0
94 0 39.0
99 0 48.0
100 0 39.0
103 0 51.0
104 0 42.0
105 0 45.0
106 0 39.0
108 0 42.0
111 0 39.0
112 0 42.0
113 0 39.0
114 0 42.0
116 0 39.0
117 0 39.0
120 0 45.0
121 0 45.0
122 0 39.0
124 0 33.0
126 0 39.0
127 0 42.0
130 0 39.0
131 0 39.0
132 0 39.0
133 0 42.0
134 0 51.0
135 0 42.0
137 0 39.0
138 0 39.0
139 0 39.0
140 0 57.0
142 0 48.0
143 0 39.0
144 0 39.0
145 0 39.0
147 0 42.0
151 0 45.0
152 0 45.0
155 0 39.0
156 0 39.0
158 0 36.0
159 0 39.0
160 0 33.0
164 0 36.0
165 0 33.0
168 0 42.0
169 0 39.0
172 0 42.0
173 0 54.0
174 0 45.0
175 0 39.0
176 0 57.0
177 0 45.0
178 0 36.0
179 0 36.0
183 0 39.0
186 0 42.0
188 0 39.0
190 0 45.0
194 0 45.0
195 0 36.0
196 0 39.0
199 0 42.0
200 0 36.0
201 0 36.0
202 0 40.5
203 0 42.0
204 0 42.0
205 0 42.0
207 0 45.0
208 0 39.0
209 0 45.0
210 0 36.0
211 0 39.0
212 0 36.0
213 0 39.0
214 0 39.0
215 0 33.0
218 0 36.0
220 0 39.0
221 0 45.0
223 0 43.5
225 0 45.0
226 0 39.0
228 0 36.0
229 0 39.0
230 0 39.0
234 0 30.0
241 0 48.0
242 0 54.0
245 0 42.0
246 0 36.0
247 0 51.0
248 0 42.0
249 0 36.0
250 0 51.0
252 0 40.5
255 0 42.0
256 0 36.0
257 0 33.0
259 0 42.0
260 0 42.0
263 0 51.0
264 0 48.0
265 0 42.0
266 0 42.0
267 0 36.0
268 0 33.0
270 0 30.0
273 0 48.0
274 0 36.0
276 0 42.0
278 0 51.0
279 0 40.5
282 0 39.0
284 0 39.0
285 0 39.0
288 0 42.0
291 0 39.0
292 0 39.0
293 0 36.0
295 0 45.0
296 0 40.5
298 0 36.0
299 0 45.0
300 0 42.0
302 0 60.0
304 0 42.0
306 0 42.0
309 0 39.0
310 0 39.0
311 0 39.0
312 0 54.0
313 0 48.0
315 0 42.0
317 0 48.0
318 0 42.0
320 0 39.0
321 0 36.0
322 0 48.0
323 0 39.0
324 0 45.0
327 0 36.0
329 0 41.0
332 0 39.0
333 0 36.0
334 0 39.0
336 0 30.0
340 0 33.0
341 0 45.0
343 0 42.0
346 0 39.0
347 0 36.0
349 0 42.0
350 0 45.0
351 0 45.0
353 0 48.0
354 0 45.0
355 0 45.0
357 0 45.0
358 0 40.5
362 0 45.0
363 0 33.0
364 0 45.0
365 0 48.0
367 0 57.0
368 0 36.0
369 0 63.0
370 0 43.5
375 0 36.0
377 0 33.0
378 0 42.0
379 0 48.0
381 0 36.0
383 0 75.0
384 0 42.0
385 0 48.0
387 0 48.0
388 0 42.0
393 0 51.0
394 0 42.0
395 0 39.0
396 0 45.0
397 0 31.5
398 0 42.0
399 0 51.0
400 0 42.0
401 0 36.0
402 0 57.0
405 0 36.0
406 0 39.0
408 0 42.0
410 0 42.0
411 0 33.0
412 0 45.0
413 0 48.0
415 0 48.0
418 0 39.0
419 0 42.0
420 0 42.0
423 0 42.0
427 0 39.0
430 0 33.0
431 0 42.0
432 0 42.0
435 0 54.0
436 0 39.0
437 0 39.0
438 0 42.0
439 0 34.5
445 0 42.0
450 0 42.0
451 0 33.0
452 0 42.0
453 0 42.0
454 0 36.0
455 0 39.0
456 0 39.0
457 0 42.0
458 0 45.0
459 0 33.0
461 0 27.0
462 0 45.0
465 0 45.0
466 0 39.0
468 0 39.0
469 0 45.0
470 0 45.0
472 0 36.0
473 0 36.0
474 0 42.0
475 0 42.0
477 0 36.0
478 0 48.0
