eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
0 0.0177423 14.3895 2.46343 0.314701 11
1 0.0455776 37.8519 2.19775 0.178229 32
2 0.069027 55.6584 10.8445 0.270003 29
3 0.0407904 33.9024 4.90089 0.256655 25
4 0.0451917 38.3821 16.5355 0.480587 13
5 0.0560754 46.6066 11.8821 0.312353 22
6 0.0479546 38.9177 6.58639 0.249204 27
7 0.0597048 52.8946 3.68603 0.182992 33
8 0.0556605 47.2623 6.02503 0.24527 27
9 0.0532279 45.6606 10.2919 0.288387 21
10 0.0522867 43.2354 5.95456 0.244146 25
11 0.0467222 39.7482 2.59397 0.190629 29
12 0.0445547 36.4694 7.59297 0.304266 21
13 0.0341371 28.6991 2.44416 0.217877 23
14 0.0315 26.4358 3.97369 0.239053 23
15 0.0782374 65.018 6.64761 0.192998 36
16 0.0412952 33.1819 3.47723 0.220167 25
18 0.021114 16.8542 3.09059 0.335868 10
19 0.0199749 16.5377 4.33111 0.382993 12
20 0.0413286 34.8217 10.3822 0.345206 17
21 0.0610683 50.4068 5.12491 0.222028 31
22 0.0387102 33.3038 4.08819 0.217386 27
23 0.0317689 25.8846 1.87183 0.22147 24
24 0.03572 28.5926 3.86042 0.262181 22
25 0.0522074 41.9644 4.16012 0.192125 29
26 0.0559359 51.0371 7.29393 0.23442 27
27 0.039535 33.8025 5.08051 0.235803 24
28 0.0677216 54.3201 6.67844 0.21034 33
29 0.0311519 26.5212 2.89539 0.270449 17
30 0.0545274 42.8508 3.69321 0.194135 33
31 0.0499162 41.8917 4.58221 0.227007 23
32 0.0559769 46.2287 4.98224 0.201843 30
33 0.052785 44.6852 4.89514 0.215372 27
34 0.0683711 59.5002 5.69915 0.206507 29
35 0.0486232 38.7993 2.844 0.181424 32
36 0.0450115 39.7748 10.1095 0.356902 17
37 0.0503883 43.3689 4.43848 0.212071 29
38 0.0552824 47.674 5.9477 0.212476 29
39 0.0310198 25.4521 6.28091 0.321695 16
40 0.029019 25.1066 4.32372 0.276878 19
41 0.03708 30.4512 2.43339 0.21565 23
42 0.0289219 24.3861 5.13552 0.377903 12
43 0.0315198 28.0387 4.4854 0.241671 23
44 0.0540068 46.5639 4.88618 0.215762 29
45 0.0668794 55.4048 6.11947 0.203011 32
46 0.0203371 15.6992 4.80632 0.442568 11
47 0.0772716 65.2137 4.78131 0.17498 41
48 0.0385744 31.2128 5.77616 0.288755 18
49 0.047853 39.8175 3.1966 0.187441 34
50 0.0371644 32.3946 6.04168 0.261328 23
51 0.0364101 30.5363 5.58946 0.272673 17
52 0.0582821 48.4037 10.5983 0.297071 26
53 0.0491166 43.3669 5.54189 0.241874 26
54 0.0540573 45.2969 4.04325 0.1904 31
55 0.0599876 49.4896 6.18244 0.211522 30
56 0.0690084 57.2948 4.30885 0.185505 36
57 0.0442343 37.67 6.92269 0.330863 16
58 0.0387768 30.3585 4.08669 0.23395 24
59 0.0421174 34.2782 3.55618 0.201806 28
