eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
0 0 -0.000210017 6.10352e-06 0 0.204378 0.0321434 -0.978364 6.18 1.27269
1 0 -0.000210017 6.10352e-06 0 0.567755 -0.638434 0.519669 6.18 0.80849
2 0 -0.000210017 6.10352e-06 0 -0.659836 -0.0544592 -0.749433 6.18 0.417404
3 0 -0.000210017 6.10352e-06 0 0.957519 -0.287872 0.0169731 6.18 0.711855
4 0 -0.000210017 6.10352e-06 0 -0.188396 -0.773213 -0.605515 6.18 1.04011
5 0 -0.000210017 6.10352e-06 0 -0.0191168 0.686396 -0.726977 6.18 0.629614
6 0 -0.000210017 6.10352e-06 0 -0.29114 -0.956211 0.0299661 6.18 1.07621
7 0 -0.000210017 6.10352e-06 0 0.0360278 0.634704 0.771915 6.18 0.376966
8 0 -0.000210017 6.10352e-06 0 -0.406606 0.519592 0.751462 6.18 0.671423
9 0 -0.000210017 6.10352e-06 0 -0.836632 0.231452 -0.496464 6.18 0.626651
10 0 -0.000210017 6.10352e-06 0 0.79695 0.537856 -0.27492 6.18 0.616852
11 0 -0.000210017 6.10352e-06 0 -0.0493206 0.770704 -0.635281 6.18 0.749777
12 0 -0.000210017 6.10352e-06 0 -0.70843 0.207155 0.674696 6.18 0.886536
13 0 -0.000210017 6.10352e-06 0 0.918556 -0.394801 0.0196484 6.18 0.324169
14 0 -0.000210017 6.10352e-06 0 0.466482 0.880095 -0.0884665 6.18 0.424226
15 0 -0.000210017 6.10352e-06 0 0.821032 -0.566083 -0.0738686 6.18 0.390322
16 0 -0.000210017 6.10352e-06 0 -0.132952 0.915199 0.380439 6.18 0.518158
17 0 -0.000210017 6.10352e-06 0 0.823017 0.430118 -0.371 6.18 1.74584
18 0 -0.000210017 6.10352e-06 0 0.507224 -0.846755 -0.160403 6.18 1.70055
19 0 -0.000210017 6.10352e-06 0 0.501997 -0.81685 -0.284174 6.18 1.00194
20 0 -0.000210017 6.10352e-06 0 0.0352661 -0.209778 0.977113 6.18 1.15307
21 0 -0.000210017 6.10352e-06 0 0.904166 0.0665394 -0.421966 6.18 0.409036
22 0 -0.000210017 6.10352e-06 0 -0.566752 0.176091 0.80485 6.18 0.56501
23 0 -0.000210017 6.10352e-06 0 0.220493 -0.302189 0.927397 6.18 0.818462
24 0 -0.000210017 6.10352e-06 0 0.543084 0.753857 -0.369811 6.18 0.521899
25 0 -0.000210017 6.10352e-06 0 0.720395 0.503694 -0.476783 6.18 0.382905
26 0 -0.000210017 6.10352e-06 0 -0.935048 -0.0622307 -0.349017 6.18 0.63945
27 0 -0.000210017 6.10352e-06 0 -0.880653 0.247448 0.404003 6.18 0.125148
28 0 -0.000210017 6.10352e-06 0 0.342577 -0.887802 0.307326 6.18 0.5007
29 0 -0.000210017 6.10352e-06 0 -0.874526 -0.472559 0.109049 6.18 1.07723
30 0 -0.000210017 6.10352e-06 0 0.113304 0.426385 -0.897417 6.18 0.235556
31 0 -0.000210017 6.10352e-06 0 -0.91656 -0.346398 -0.199817 6.18 0.212612
32 0 -0.000210017 6.10352e-06 0 -0.288301 0.012469 -0.957459 6.18 0.670268
33 0 -0.000210017 6.10352e-06 0 0.211488 -0.768402 0.604013 6.18 0.344604
