eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
0 -146.755 -101.777 7.44829 0 0.236121 -0.740699 -0.628977 10.511 0.0424298
1 138.07 -143.906 -34.4856 0 -0.662914 -0.597813 -0.450737 10.511 0.0337593
2 -87.272 16.629 -14.8973 0 -0.166032 0.743037 -0.648329 10.511 0.0338882
3 -94.6811 145.879 -46.2315 0 0.22946 0.731326 -0.64227 10.511 0.0513411
4 27.2527 -29.2527 -146.065 0 -0.696044 -0.321252 -0.642121 10.511 0.0454486
5 34.043 121.692 -62.2027 0 0.393441 0.857012 -0.332769 10.511 0.0361338
6 -4.9684 -24.7219 -49.7192 0 0.475756 -0.414565 -0.775753 10.511 0.027648
7 120.48 -88.9075 83.1757 0 0.841885 -0.218429 -0.493476 10.511 0.0442135
8 -68.712 -148.822 129.512 0 0.985291 -0.142164 0.0948235 10.511 0.0515811
9 -91.2537 52.9872 8.14304 0 -0.608013 -0.605553 -0.513444 10.511 0.0429697
10 123.34 184.249 -9.6313 0 -0.528586 -0.796338 0.294012 10.511 0.044257
11 -45.5667 171.574 109.905 0 -0.386012 -0.104947 0.916505 10.511 0.0287148
12 117.708 -132.172 0.623007 0 -0.564619 -0.470312 0.678242 10.511 0.0363478
13 82.8931 186.279 -47.5697 0 0.910597 0.389814 -0.137324 10.511 0.0448437
14 75.262 -29.3973 -39.1464 0 -0.418611 0.28601 -0.861953 10.511 0.048779
15 85.6161 149.887 61.0704 0 -0.747193 -0.649855 0.139252 10.511 0.0456754
16 66.7718 -104.891 -92.1393 0 -0.758705 0.475297 -0.445488 10.511 0.0474978
17 -84.6315 -131.175 -51.293 0 0.155652 -0.80763 -0.568777 10.511 0.036067
18 112.106 -137.15 -15.7698 0 -0.462603 0.61463 -0.638928 10.511 0.0144694
19 44.659 163.323 -39.5812 0 0.771092 0.339539 -0.538638 10.511 0.0317869
20 -46.3321 -128.181 91.2159 0 0.872399 0.345235 -0.346025 10.511 0.0290255
21 -51.0567 -157.079 41.3123 0 0.134747 0.41763 0.89857 10.511 0.0357283
22 -97.4164 171.442 105.562 0 -0.864324 -0.40025 -0.304539 10.511 0.0495612
23 -73.2982 118.516 -72.1492 0 -0.37234 0.479329 -0.794737 10.511 0.0460735
24 -139.718 78.8538 -10.4064 0 -0.439151 0.637373 0.633169 10.511 0.0421584
25 128.557 115.084 -25.8885 0 0.712567 0.688069 -0.137146 10.511 0.0298931
26 -25.9623 36.942 -73.4089 0 -0.490797 -0.648845 0.58148 10.511 0.0414158
27 94.1792 167.137 33.9137 0 -0.185355 -0.938641 0.290856 10.511 0.044588
28 45.4284 170.86 112.229 0 -0.548137 -0.795567 -0.258108 10.511 0.0384207
29 -21.5534 187.729 -38.0253 0 0.893724 -0.40334 0.196404 10.511 0.0278197
30 -81.951 14.431 14.7501 0 0.305928 0.744065 0.593949 10.511 0.0430514
31 -11.4345 -25.9716 -119.794 0 0.677235 0.622068 -0.392918 10.511 0.0284563
32 -72.3318 60.9922 -119.528 0 0.973715 0.102784 0.203261 10.511 0.0453229
33 62.9972 189.558 66.7039 0 -0.356005 0.928797 0.102944 10.511 0.0371595
34 34.9062 -119.046 -98.9676 0 0.866663 -0.477751 -0.1437 10.511 0.0598389
